Name,Habitantes
Acacías,71.200
Aguachica,108.200
Aguazul,28.700
Agustín Codazzi,53.000
Albania,20.100
Andes,23.900
Anserma,22.400
Apartadó,113.600
Aracataca,25.000
Arauca,87.100
Arjona,59.200
Armenia,309.000
Ayapel,28.000
Baranoa,58.200
Barbosa,25.600
Barbosa,26.900
Barrancabermeja,189.600
Barranquilla,1.326600
Bello,562.900
Bogotá (Santa Fe de Bogotá),7.936500
Bosconia,42.500
Bucaramanga,613.400
Buenaventura,245.700
Buga (Guadalajara de Buga),112.500
Caicedonia,24.200
Cajicá,73.500
Calarcá,61.000
Caldas,71.600
Cali (Santiago de Cali),2.250800
Campoalegre,24.300
Campo de la Cruz,21.200
Candelaria,26.600
Carepa,39.800
Cartagena (Cartagena de Indias),943.500
Cartago,135.400
Caucasia,89.300
Cereté,60.800
Chaparral,29.600
Chía,139.600
Chigorodó,53.600
Chinchiná,47.800
Chinú,20.000
Chiquinquirá,52.300
Ciénaga,113.600
Ciénaga de Oro,22.300
Circasia,22.900
Copacabana,71.100
Corozal,54.900
Cota,28.100
Cúcuta (San José de Cúcuta),767.000
Curumaní,29.200
Dosquebradas,220.000
Duitama,115.100
El Bagre,37.800
El Banco,43.000
El Carmen de Bolívar,54.000
El Carmen de Viboral,40.500
El Cerrito,37.500
El Copey,24.900
El Dificil (in: Ariguaní),20.400
El Espinal,51.900
El Rosal,25.000
El Santuario,28.400
Envigado,245.800
Facatativá,161.100
Flandes,25.000
Florencia,157.900
Florida,41.800
Floridablanca,303.900
Fonseca,41.800
Fundación,61.500
Funza,114.100
Fusagasugá,148.400
Galapa,64.800
Garzón,40.000
Girardot,117.200
Girardota,33.900
Girón (San Juan de Girón),157.400
Granada,60.500
Guacarí,21.500
Guaduas,19.200
Guarne,23.100
Honda,23.400
Ibagué,506.500
Inírida (Puerto Inírida),23.900
Ipiales,77.200
Istmina,22.700
Itagüí,279.700
Jamundí,133.900
La Ceja,63.000
La Dorada,67.100
La Estrella,69.300
La Jagua de Ibirico,41.000
La Mesa,23.200
La Plata,26.300
La Tebaida,32.800
La Unión,28.400
La Virginia,28.100
Lebrija,26.200
Leticia,38.400
Líbano,23.700
Los Patios,97.100
Madrid,133.900
Magangué,98.400
Maicao,126.400
Malambo,135.700
Manizales,434.000
María La Baja,21.200
Marinilla,51.800
Mariquita (San Sebastian de Mariquita),28.700
Medellín,2.611.100
Melgar,31.100
Miranda,18.500
Mitú,11.500
Mocoa (San Miguel de Mocoa),42.700
Mompós (Santa Cruz de Mompox),23.700
Montelíbano,64.700
Montenegro,32.300
Montería,402.100
Mosquera,164.200
Neiva,348.300
Ocaña,119.200
Orito,22.000
Paipa,22.100
Palmar de Varela,31.000
Palmira,287.400
Pamplona,51.300
Pasto (San Juan de Pasto),306.200
Paz de Ariporo,26.300
Pereira,414.000
Piedecuesta,155.800
Pitalito,76.600
Pivijay,22.900
Planeta Rica,41.800
Plato,50.200
Popayán,273.000
Pradera,43.100
Puerto Asís,42.700
Puerto Berrío,37.000
Puerto Boyacá,35.700
Puerto Carreño,16.200
Puerto Colombia,49.000
Puerto Gaitán,22.000
Puerto López,18.800
Puerto Tejada,36.600
Quibdó (San Francisco de Quibdó),114.600
Quimbaya,26.600
Riohacha,156.000
Rionegro,97.800
Riosucio,21.100
Robles (in: La Paz),21.800
Roldanillo,28.900
Sabana de Torres,24.900
Sabanagrande,34.900
Sabanalarga,78.200
Sabaneta,81.800
Sahagún,54.300
Sampués,24.800
San Alberto,23.800
San Andrés,43.200
San Gil,53.600
San Jacinto,21.800
San José del Guaviare,41.400
San Juan del Cesar,37.200
San Juan Nepomuceno,29.200
San Marcos,33.800
San Martín,19.600
San Onofre,19.600
San Pablo,23.700
Santa Cruz de Lorica (Lorica),54.700
Santa Marta,498.900
Santander de Quilichao,53.000
Santa Rosa (Santa Rosa de Lima),20.900
Santa Rosa de Cabal,69.000
Santa Rosa del Sur,21.300
Santa Rosa de Osos,23.600
Santo Tomás,31.500
San Vicente del Caguán,26.300
Saravena,49.700
Segovia,34.400
Sevilla,32.300
Sibaté,30.200
Sincé,23.700
Sincelejo,267.500
Soacha,826.700
Socorro,28.700
Sogamoso,118.900
Soledad,691.900
Sopó,23.900
Tame,29.800
Tibú,22.600
Tierralta,43.700
Tocancipá,23.000
Tolú (Santiago de Tolú),28.200
Tuluá,182.900
Tumaco (San Andrés de Tumaco),87.000
Tunja,175.200
Turbaco,107.100
Turbo,59.800
Ubaté (Villa de San Diego de Ubaté),41.000
Valledupar,490.700
Villa del Rosario,110.600
Villamaría,61.500
Villanueva,22.400
Villanueva,29.200
Villanueva,27.900
Villavicencio,513.600
Villeta,23.100
Yarumal,33.000
Yopal,156.700
Yumbo,97.400
Zarzal,33.200
Zipaquirá,136.900